證交所新聞
"標題","連結","日期"
"110年截至7月底權證發行與交易統計","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b05e957180051","110年08月02日"
"110年7月份權證發行與交易統計","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b05df5be6004d","110年08月02日"
"上週外資在集中市場賣超415.73億元，賣超友達9.62萬張最多，另買超聯電23.23萬張最多。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b04f97bc20049","110年08月02日"
"大眾控自110年8月2日起得為融資融券交易","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af6d8491b003d","110年07月30日"
"本週發行量加權股價指數跌幅約為1.85%，上市股票總市值達52.89兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af6ac61220038","110年07月30日"
"「汽車供應鏈」線上主題式業績發表於8月24日起陸續登場","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af679b69a0030","110年07月30日"
"臺灣證券交易所訂於8月3日召開有價證券上市審議委員會第739次會議，將審議全訊科技 (股)公司之申請股票上市案","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af6706780002c","110年07月30日"
"力晶積成電子製造(股)公司於110年7月30日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af57d4fe90027","110年07月30日"
"友佳國際控股有限公司參與發行之臺灣存託憑證(友佳-DR，證券代號：912398)自110年7月30日起暫停交易。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af55b0c130023","110年07月30日"
"證交所修正上市條件 申請上市進銷貨集中關係人設有上限","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af1a08bc60016","110年07月29日"
"穎崴自本（110）年7月30日起得為融資融券交易","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af16495b70011","110年07月29日"
"詠業科技(股)公司於110年7月29日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017af0e3d4be000b","110年07月29日"
"「安格科技股份有限公司」（股票代號：6684）競價拍賣方式辦理承銷，於今(7/28)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017aebbb5c590005","110年07月28日"
"臺灣證券交易所針對光麗光電科技股份有限公司（光麗-KY，公司代號: 6431）違反資訊申報規定，處以新臺幣1萬元之違約金。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ae6ebd1af00a3","110年07月27日"
"「安集科技股份有限公司」國內第三次無擔保轉換公司債（證券代號：64773）採競價拍賣方式辦理承銷，於今(7/26)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ae237710f0096","110年07月26日"
"「撼訊科技股份有限公司」國內第五次無擔保轉換公司債（證券代號：61505）採競價拍賣方式辦理承銷，於今(7/26)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ae2352b200092","110年07月26日"
"證交所將對當沖比率較高有價證券納入公布注意交易資訊，提醒投資人注意交易風險","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ae232370b008e","110年07月26日"
"上週外資在集中市場賣超453.79億元，賣超開發金7.37萬張最多，另買超聯電10.17萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ae0dec0d80087","110年07月26日"
"本週發行量加權股價指數跌幅約為1.80%，上市股票總市值達53.88兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ad29a8d490082","110年07月23日"
"「台灣光罩股份有限公司」國內第三次無擔保轉換公司債(證券代號: 23383)採競價拍賣方式辦理承銷，於今(7/23)日順利完成","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ad25e4d1f007e","110年07月23日"
"「增你強股份有限公司」國內第四次無擔保轉換公司債(證券代號: 30284)採競價拍賣方式辦理承銷，於今(7/23)日順利完成","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ad257e129007a","110年07月23日"
"臺灣證券交易所針對英瑞國際股份有限公司（英瑞-KY，公司代號: 1592）違反重大訊息規定，處以新臺幣20萬元之違約金。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017acc48e9fa0073","110年07月22日"
"全體證券商110年06月份稅後淨利133.85億元，累計稅後淨利582.74億元","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017acc09ec9b006f","110年07月22日"
"110年7月22日除息影響加權股價指數","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ac87f75bb006b","110年07月21日"
"杜康控股有限公司參與發行之臺灣存託憑證將於110年8月31日終止上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ac853aee50066","110年07月21日"
"「臺灣創新板」正式開板！ 為國內經濟注入成長新動能","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017ac28974fe0061","110年07月20日"
"110年「全國教師證券知識研習營」線上學習課程開始報名了！","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017abe1a2b58005a","110年07月19日"
