Date,Open,High,Low,Close,Adj Close,Volume
2015-04-07,146.500000,147.500000,145.000000,146.000000,119.115242,33362000
2015-04-08,145.500000,146.000000,143.000000,143.000000,116.667671,47500000
2015-04-09,144.000000,145.500000,143.000000,143.000000,116.667671,46493000
2015-04-10,146.000000,147.000000,145.000000,147.000000,119.931114,33819000
2015-04-13,146.500000,147.500000,146.000000,147.000000,119.931114,23821000
2015-04-14,145.000000,145.500000,143.500000,144.000000,117.483536,41528000
2015-04-15,143.500000,144.500000,141.500000,143.000000,116.667671,71481000
2015-04-16,145.000000,147.000000,144.500000,147.000000,119.931114,54354000
2015-04-17,143.000000,144.000000,142.500000,142.500000,116.259743,76708000
2015-04-20,142.000000,144.000000,141.500000,143.000000,116.667671,34341000
2015-04-21,142.000000,143.500000,141.500000,142.500000,116.259743,36209000
2015-04-22,143.500000,145.000000,143.000000,143.500000,117.075615,40606000
2015-04-23,145.500000,147.000000,145.000000,147.000000,119.931114,46931000
2015-04-24,149.000000,152.500000,148.500000,152.500000,124.418320,122689000
2015-04-27,153.000000,153.000000,150.000000,151.500000,123.602486,57529000
2015-04-28,153.500000,153.500000,150.500000,151.500000,123.602486,43177000
2015-04-29,150.000000,151.000000,148.000000,148.500000,121.154892,37363000
2015-04-30,147.000000,148.500000,146.500000,147.000000,119.931114,48913000
2015-05-04,148.500000,148.500000,146.000000,147.500000,120.339043,30811000
2015-05-05,147.500000,148.000000,146.000000,147.000000,119.931114,27559000
2015-05-06,145.500000,148.000000,145.500000,147.500000,120.339043,18784000
2015-05-07,146.000000,147.500000,146.000000,146.500000,119.523178,21826000
2015-05-08,146.000000,147.500000,146.000000,146.500000,119.523178,19987000
2015-05-11,149.000000,149.000000,147.000000,148.500000,121.154892,20326000
2015-05-12,147.000000,148.500000,147.000000,147.500000,120.339043,20509000
2015-05-13,147.500000,149.000000,147.000000,148.000000,120.746971,18844000
2015-05-14,148.000000,148.500000,146.000000,146.000000,119.115242,38700000
2015-05-15,147.000000,147.000000,145.000000,146.500000,119.523178,24295000
2015-05-18,147.000000,147.000000,145.000000,146.500000,119.523178,22879000
2015-05-19,145.500000,147.500000,145.000000,146.500000,119.523178,26257000
